"GENE",1.11,1.11,1.12,N/A,N/A,12.50,18.02M
"GNUS",3.40,3.60,3.74,N/A,N/A,8.00,N/A
"GNMK",13.21,13.01,13.03,N/A,N/A,16.25,622.02M
"GNCA",5.87,6.02,6.08,N/A,N/A,21.75,167.31M
"GHDX",29.59,29.52,29.51,N/A,N/A,31.60,1.02B
"GNST",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GNTX",18.60,18.83,18.87,N/A,N/A,21.23,5.34B
"THRM",36.95,36.35,36.40,N/A,N/A,42.25,1.36B
"GNVC",6.72,7.17,7.21,N/A,N/A,7.00,15.27M
"GTWN",26.00,25.98,25.98,N/A,N/A,N/A,45.16M
"GEOS",15.26,15.33,15.42,N/A,N/A,28.00,205.09M
"GABC",31.05,30.55,30.45,N/A,N/A,34.20,711.95M
"GERN",3.06,3.05,3.04,N/A,N/A,4.17,487.08M
"GEVO",0.8553,0.9180,0.9200,N/A,N/A,12.0000,12.88M
"ROCK",31.85,31.40,31.55,N/A,N/A,43.00,1.01B
"GIGM",2.8604,2.9500,2.8500,N/A,N/A,1.5000,31.61M
"GIGA",0.80,0.83,0.85,N/A,N/A,N/A,7.64M
"GIII",19.97,19.13,19.33,N/A,N/A,26.50,971.34M
"GILT",4.87,4.93,4.89,N/A,N/A,5.50,266.01M
"GILD",64.36,64.23,64.23,N/A,N/A,78.59,84.10B
"GBCI",33.13,32.91,33.10,N/A,N/A,36.83,2.54B
"GLAD",10.07,9.87,9.97,N/A,N/A,8.94,N/A
"GLADO",25.6199,25.5475,25.6200,N/A,N/A,N/A,653.74M
"GOOD",20.32,20.14,20.18,N/A,N/A,23.50,511.96M
"GOODM",25.60,25.59,25.54,N/A,N/A,N/A,644.99M
"GOODO",25.45,25.56,N/A,N/A,N/A,N/A,641.21M
"GOODP",25.74,25.83,25.93,N/A,N/A,N/A,648.52M
"GAIN",9.10,9.12,9.22,N/A,N/A,9.50,N/A
"GAINM",25.4808,25.4101,25.4100,N/A,N/A,N/A,771.30M
"GAINN",25.5834,25.5700,N/A,N/A,N/A,N/A,774.41M
"GAINO",25.74,25.74,N/A,N/A,N/A,N/A,779.15M
"LAND",11.29,11.16,11.15,N/A,N/A,13.60,133.79M
"LANDP",25.95,26.02,N/A,N/A,N/A,N/A,307.51M
"GLBZ",11.75,11.75,N/A,N/A,N/A,N/A,32.78M
