"PBFX","PBF Logistics LP Common Units r",N/A,N/A
"BTU","Peabody Energy Corporation",N/A,N/A
"PSO","Pearson, Plc",N/A,N/A
"PEB","Pebblebrook Hotel Trust  of Ben",N/A,N/A
"PEB^C",N/A,N/A,N/A
"PEB^D",N/A,N/A,N/A
"PBA","Pembina Pipeline Corp. Ordinary",N/A,N/A
"PGH","Pengrowth Energy Corporation",N/A,N/A
"PWE","Penn West Petroleum Ltd",N/A,N/A
"PNTA","PennantPark Investment Corporat",N/A,N/A
"PEI","Pennsylvania Real Estate Invest",N/A,N/A
"PEI^A",N/A,N/A,N/A
"PEI^B",N/A,N/A,N/A
"PEI^C",N/A,N/A,N/A
"PFSI","PennyMac Financial Services, In",N/A,N/A
"PMT","PennyMac Mortgage Investment Tr",N/A,N/A
"PMT^A",N/A,N/A,N/A
"PAG","Penske Automotive Group, Inc.",N/A,N/A
"PNR","Pentair plc. Ordinary Share",N/A,N/A
"PEN","Penumbra, Inc.",N/A,N/A
"PEP","Pepsico, Inc.",N/A,N/A
"PFGC","Performance Food Group Company",N/A,N/A
"PKI","PerkinElmer, Inc.",N/A,N/A
"PBT","Permian Basin Royalty Trust",N/A,N/A
"PRGO","Perrigo Company plc Ordinary Sh",N/A,N/A
"PZE","Petrobras Argentina S.A. ADS",N/A,N/A
"PTR","PetroChina Company Limited",N/A,N/A
"PBR","Petroleo Brasileiro S.A.- Petro",N/A,N/A
"PBR.A",N/A,N/A,N/A
"PQ","Petroquest Energy Inc",N/A,N/A
"PFE","Pfizer, Inc.",N/A,N/A
"PGTI","PGT Innovations, Inc.",N/A,N/A
"PMC","Pharmerica Corporation",N/A,N/A
"PHH","PHH Corp",N/A,N/A
"PM","Philip Morris International Inc",N/A,N/A
"PSX","Phillips 66",N/A,N/A
"PSXP","Phillips 66 Partners LP Common ",N/A,N/A
"FENG","Phoenix New Media Limited Ameri",N/A,N/A
"DOC","Physicians Realty Trust  of Ben",N/A,N/A
"PDM","Piedmont Office Realty Trust, I",N/A,N/A
"PIR","Pier 1 Imports, Inc.",N/A,N/A
"PCQ","PIMCO California Municipal Inco",N/A,N/A
"PCK","Pimco California Municipal Inco",N/A,N/A
"PZC","PIMCO California Municipal Inco",N/A,N/A
"PCM","PCM Fund, Inc.",N/A,N/A
"PTY","Pimco Corporate & Income Opport",N/A,N/A
"PCN","Pimco Corporate & Income Strate",N/A,N/A
"PCI","PIMCO Dynamic Credit and Mortga",N/A,N/A
"PDI","PIMCO Dynamic Income Fund",N/A,N/A
"PGP","Pimco Global Stocksplus & Incom",N/A,N/A
"PHK","Pimco High Income Fund Pimco Hi",N/A,N/A
"PKO","Pimco Income Opportunity Fund  ",N/A,N/A
"PFL","PIMCO Income Strategy Fund Shar",N/A,N/A
"PFN","PIMCO Income Strategy Fund II",N/A,N/A
"PMF","PIMCO Municipal Income Fund",N/A,N/A
"PML","Pimco Municipal Income Fund II ",N/A,N/A
"PMX","PIMCO Municipal Income Fund III",N/A,N/A
"PNF","PIMCO New York Municipal Income",N/A,N/A
"PNI","Pimco New York Municipal Income",N/A,N/A
"PYN","PIMCO New York Municipal Income",N/A,N/A
"RCS","PIMCO Strategic Income Fund, In",N/A,N/A
"PF","Pinnacle Foods, Inc.",N/A,N/A
"PNW","Pinnacle West Capital Corporati",N/A,N/A
"PES","Pioneer Energy Services Corp. C",N/A,N/A
"PHD","Pioneer Floating Rate Trust Pio",N/A,N/A
"PHT","Pioneer High Income Trust  of B",N/A,N/A
"MAV","Pioneer Municipal High Income A",N/A,N/A
"MHI","Pioneer Municipal High Income T",N/A,N/A
"PXD","Pioneer Natural Resources Compa",N/A,N/A
"PJC","Piper Jaffray Companies",N/A,N/A
"PBI","Pitney Bowes Inc.",N/A,N/A
"PBI^B",N/A,N/A,N/A
"PJT","PJT Partners Inc. Class A",N/A,N/A
"PAA","Plains All American Pipeline, L",N/A,N/A
"PAGP","Plains Group Holdings, L.P. Cla",N/A,N/A
"PLNT","Planet Fitness, Inc.",N/A,N/A
"PLT","Plantronics, Inc.",N/A,N/A
"PAH","Platform Specialty Products Cor",N/A,N/A
"PHI","PLDT Inc. Sponsored ADR",N/A,N/A
"PGEM","Ply Gem Holdings, Inc.",N/A,N/A
"PNC","PNC Financial Services Group, I",N/A,N/A
"PNC.WS",N/A,N/A,N/A
"PNC^P",N/A,N/A,N/A
"PNC^Q",N/A,N/A,N/A
"PNM","PNM Resources, Inc. (Holding Co",N/A,N/A
"PII","Polaris Industries Inc.",N/A,N/A
"POL","PolyOne Corporation",N/A,N/A
"POR","Portland General Electric Co",N/A,N/A
"PKX","POSCO",N/A,N/A
"POST","Post Holdings, Inc.",N/A,N/A
"POT","Potash Corporation of Saskatche",N/A,N/A
"PPG","PPG Industries, Inc.",N/A,N/A
"PPX","PPL Capital Funding, Inc. 2013 ",N/A,N/A
"PPL","PPL Corporation",N/A,N/A
"PYS","Merrill Lynch Depositor Inc PPl",N/A,N/A
"PYT","PPlus Tr GSC-2 Tr Ctf Fltg Rate",N/A,N/A
"PX","Praxair, Inc.",N/A,N/A
"PDS","Precision Drilling Corporation",N/A,N/A
"APTS","Preferred Apartment Communities",N/A,N/A
"PBH","Prestige Brand Holdings, Inc.",N/A,N/A
"PVG","Pretium Resources, Inc. Ordinar",N/A,N/A
"PRI","Primerica, Inc.",N/A,N/A
"PPP","Primero Mining Corp.  New  (Can",N/A,N/A
"PFG","Principal Financial Group Inc",N/A,N/A
"PGZ","Principal Real Estate Income Fu",N/A,N/A
"PVTD","PrivateBancorp, Inc. 7.125% Sub",N/A,N/A
"PRA","ProAssurance Corporation",N/A,N/A
"PG","Procter & Gamble Company (The)",N/A,N/A
"PGR","Progressive Corporation (The)",N/A,N/A
"PLD","ProLogis, Inc.",N/A,N/A
"PUMP","ProPetro Holding Corp.",N/A,N/A
"PRO","PROS Holdings, Inc.",N/A,N/A
"PBB","Prospect Capital Corporation 6.",N/A,N/A
"PB","Prosperity Bancshares, Inc.",N/A,N/A
"PL^C",N/A,N/A,N/A
"PL^E",N/A,N/A,N/A
"PRLB","Proto Labs, Inc. Common stock",N/A,N/A
"PFS","Provident Financial Services, I",N/A,N/A
"PFK","Prudential Financial Inflation-",N/A,N/A
"PJH","Prudential Financial, Inc. 5.75",N/A,N/A
"PRH","Prudential Financial, Inc. 5.70",N/A,N/A
"PRU","Prudential Financial, Inc.",N/A,N/A
"GHY","Prudential Global Short Duratio",N/A,N/A
"PUK","Prudential Public Limited Compa",N/A,N/A
"PUK^",N/A,N/A,N/A
"PUK^A",N/A,N/A,N/A
"ISD","Prudential Short Duration High ",N/A,N/A
"PSB","PS Business Parks, Inc.",N/A,N/A
"PSB^T",N/A,N/A,N/A
"PSB^U",N/A,N/A,N/A
"PSB^V",N/A,N/A,N/A
"PSB^W",N/A,N/A,N/A
"TLK","PT Telekomunikasi Indonesia, Tb",N/A,N/A
"PEG","Public Service Enterprise Group",N/A,N/A
"PSA","Public Storage",N/A,N/A
"PSA^A",N/A,N/A,N/A
"PSA^B",N/A,N/A,N/A
"PSA^C",N/A,N/A,N/A
"PSA^D",N/A,N/A,N/A
"PSA^E",N/A,N/A,N/A
"PSA^S",N/A,N/A,N/A
"PSA^T",N/A,N/A,N/A
"PSA^U",N/A,N/A,N/A
"PSA^V",N/A,N/A,N/A
"PSA^W",N/A,N/A,N/A
"PSA^X",N/A,N/A,N/A
"PSA^Y",N/A,N/A,N/A
"PSA^Z",N/A,N/A,N/A
"PHM","PulteGroup, Inc.",N/A,N/A
"PSTG","Pure Storage, Inc. Class A",N/A,N/A
"PCF","Putnam High Income Securities F",N/A,N/A
"PMM","Putnam Managed Municipal Income",N/A,N/A
"PIM","Putnam Master Intermediate Inco",N/A,N/A
"PMO","Putnam Municipal Opportunities ",N/A,N/A
"PPT","Putnam Premier Income Trust",N/A,N/A
"PVH","PVH Corp.",N/A,N/A
"PZN","Pzena Investment Management Inc",N/A,N/A
"QTWO","Q2 Holdings, Inc.",N/A,N/A
"QEP","QEP Resources, Inc.",N/A,N/A
"QTS","QTS Realty Trust, Inc. Class A",N/A,N/A
"QUAD","Quad Graphics, Inc Class A",N/A,N/A
"KWR","Quaker Chemical Corporation",N/A,N/A
"QCP","Quality Care Properties, Inc.",N/A,N/A
"NX","Quanex Building Products Corpor",N/A,N/A
"PWR","Quanta Services, Inc.",N/A,N/A
"QTM","Quantum Corporation",N/A,N/A
"DGX","Quest Diagnostics Incorporated",N/A,N/A
"Q","Quintiles IMS Holdings, Inc.",N/A,N/A
"QHC","Quorum Health Corporation",N/A,N/A
"QUOT","Quotient Technology Inc.",N/A,N/A
"CTAA","Qwest Corporation 7% Notes due ",N/A,N/A
"CTBB","Qwest Corporation 6.5% Notes du",N/A,N/A
"CTDD","Qwest Corporation 6.75% Notes d",N/A,N/A
"CTU","Qwest Corporation 7.00% Notes d",N/A,N/A
"CTV","Qwest Corporation 6.875% Notes ",N/A,N/A
"CTW","Qwest Corporation 7.50% Notes d",N/A,N/A
"CTX","Qwest Corporation 7.00% Notes d",N/A,N/A
"CTY","Qwest Corporation 6.125% Notes ",N/A,N/A
"CTZ","Qwest Corporation 6.625% Notes ",N/A,N/A
"RRD","R.R. Donnelley & Sons Company",N/A,N/A
"RDN","Radian Group Inc.",N/A,N/A
"RAS","RAIT Financial Trust New  of Be",N/A,N/A
"RAS^A",N/A,N/A,N/A
"RAS^B",N/A,N/A,N/A
"RAS^C",N/A,N/A,N/A
"RFT","RAIT Financial Trust 7.625% Sen",N/A,N/A
"RFTA","RAIT Financial Trust 7.125% Sen",N/A,N/A
"RL","Ralph Lauren Corporation",N/A,N/A
"RPT","Ramco-Gershenson Properties Tru",N/A,N/A
"RPT^D",N/A,N/A,N/A
"RRC","Range Resources Corporation",N/A,N/A
"RJF","Raymond James Financial, Inc.",N/A,N/A
"RYAM","Rayonier Advanced Materials Inc",N/A,N/A
"RYAM^A",N/A,N/A,N/A
"RYN","Rayonier Inc. REIT",N/A,N/A
"RTN","Raytheon Company",N/A,N/A
"RMAX","RE/MAX Holdings, Inc. Class A",N/A,N/A
"RLGY","Realogy Holdings Corp.",N/A,N/A
"O","Realty Income Corporation",N/A,N/A
"RHT","Red Hat, Inc.",N/A,N/A
