"WES",56.11,"5/22/2017","4:02pm",-0.03,56.57,56.59,55.65,375809
"WNRL",25.35,"5/22/2017","4:02pm",+0.05,25.35,25.60,25.10,170145
"WNR",36.18,"5/22/2017","4:02pm",-0.16,36.34,36.45,36.06,506273
"WU",19.12,"5/22/2017","4:04pm",+0.11,19.00,19.14,18.91,2441390
"WAB",81.75,"5/22/2017","4:02pm",-0.11,82.01,82.14,81.23,712804
"WLK",63.24,"5/22/2017","4:02pm",+0.36,63.86,63.88,62.61,837267
"WLKP",25.00,"5/22/2017","4:02pm",+0.00,25.20,25.20,24.65,18887
"WMLP",3.06,"5/22/2017","9:50am",-0.03,3.06,3.06,3.06,2679
"WBK",23.36,"5/22/2017","4:02pm",+0.13,23.34,23.38,23.20,213668
"WRK",52.31,"5/22/2017","4:00pm",+0.32,52.09,52.58,51.95,1336563
"WHG",53.84,"5/22/2017","4:02pm",+0.61,53.64,53.89,53.38,13585
"WEX",100.90,"5/22/2017","4:02pm",+1.16,100.81,100.99,99.90,266256
"WY",33.13,"5/22/2017","4:02pm",+0.11,33.02,33.22,32.90,2019071
"WGL",82.41,"5/22/2017","4:02pm",+0.00,82.50,82.72,82.40,131753
"WPM",21.36,"5/22/2017","4:02pm",+0.28,21.15,21.73,21.15,1759528
"WHR",180.13,"5/22/2017","4:02pm",+1.05,180.08,181.69,179.21,516671
"WTM",870.43,"5/22/2017","4:02pm",+8.88,859.01,876.13,854.98,32599
"WSR",11.97,"5/22/2017","4:02pm",+0.40,11.68,11.99,11.67,671299
"WLL",8.72,"5/22/2017","4:02pm",-0.15,9.02,9.09,8.63,13441443
"WRD",13.65,"5/22/2017","4:02pm",+0.19,13.51,13.86,13.07,863392
"WG",2.43,"5/22/2017","4:02pm",+0.02,2.40,2.44,2.37,62143
"WMB",30.24,"5/22/2017","4:01pm",+0.04,30.36,30.42,29.96,3610789
"WPZ",40.37,"5/22/2017","4:02pm",-0.07,40.68,40.76,39.86,617171
"WSM",49.64,"5/22/2017","4:03pm",+0.18,49.49,50.17,49.12,2094529
"WGO",26.35,"5/22/2017","4:02pm",+0.10,26.45,26.60,26.30,146012
"WIT",10.45,"5/22/2017","4:02pm",+0.00,10.44,10.47,10.39,291050
"WNS",33.65,"5/22/2017","4:02pm",-0.04,33.74,33.96,33.54,289103
"WWW",25.11,"5/22/2017","4:02pm",-0.03,25.22,25.73,25.00,530871
"WF",42.14,"5/22/2017","4:02pm",+0.39,42.60,42.60,41.70,9510
"WDAY",99.49,"5/22/2017","4:02pm",+1.67,98.12,100.40,98.08,1404795
"WK",17.95,"5/22/2017","4:02pm",+0.65,17.40,18.00,17.40,102170
"INT",37.49,"5/22/2017","4:02pm",+0.23,37.27,37.86,37.19,542028
"WPT",16.15,"5/22/2017","4:02pm",-0.26,16.37,16.37,16.05,59725
"WWE",19.80,"5/22/2017","4:02pm",+0.14,19.70,19.85,19.59,287036
"WOR",42.19,"5/22/2017","4:02pm",+0.51,42.00,42.60,41.65,203075
"WPX",12.40,"5/22/2017","4:01pm",-0.25,12.75,12.84,12.29,8517577
"WPXP",56.72,"5/22/2017","4:02pm",-0.32,57.64,57.64,56.42,5287
"WYN",95.99,"5/22/2017","4:00pm",+0.39,95.99,96.35,95.82,1246575
"XTLY",13.10,"5/22/2017","4:02pm",+0.10,13.00,13.27,12.95,111095
"XEL",46.30,"5/22/2017","4:00pm",+0.45,45.72,46.40,45.71,1937546
"XHR",17.90,"5/22/2017","4:02pm",+0.00,17.95,17.96,17.76,557861
"XRM",7.00,"5/22/2017","4:02pm",-0.03,7.04,7.14,6.86,10073
"XRX",6.98,"5/22/2017","4:00pm",-0.02,7.00,7.01,6.96,4251202
"XIN",4.59,"5/22/2017","4:02pm",+0.02,4.61,4.63,4.52,82708
"XL",41.89,"5/22/2017","4:03pm",+0.44,41.54,41.94,41.50,1096326
"XOXO",17.36,"5/22/2017","4:02pm",+0.07,17.29,17.39,17.25,108874
"XPO",53.34,"5/22/2017","4:01pm",+0.55,53.28,53.45,52.74,847584
"XYL",52.27,"5/22/2017","4:02pm",+0.26,52.16,52.56,52.06,961444
"AUY",2.84,"5/22/2017","4:00pm",+0.03,2.84,2.87,2.81,7253286
"YELP",28.29,"5/22/2017","4:02pm",+0.45,27.95,28.34,27.86,2006794
"YEXT",13.29,"5/22/2017","4:03pm",+0.02,13.32,13.48,13.15,144899
"YGE",2.26,"5/22/2017","4:02pm",-0.05,2.40,2.40,2.25,53585
"YRD",23.63,"5/22/2017","4:04pm",-0.38,25.50,26.62,23.31,2479528
"YPF",23.89,"5/22/2017","4:02pm",-0.26,24.14,24.41,23.81,746233
"YUMC",36.91,"5/22/2017","4:01pm",+0.56,36.32,37.17,36.21,5031270
"YUM",71.01,"5/22/2017","4:02pm",+0.94,70.25,71.13,70.00,2485726
"YUME",4.34,"5/22/2017","4:02pm",+0.14,4.20,4.48,4.20,238951
"ZAYO",31.88,"5/22/2017","4:04pm",+0.63,31.48,31.93,31.48,2811888
